date,target
2023-10-01 00:00:00,102.73
2023-10-01 01:00:00,94.14
2023-10-01 02:00:00,88.6
2023-10-01 03:00:00,55.84
2023-10-01 04:00:00,56.950005
2023-10-01 05:00:00,70.73
2023-10-01 06:00:00,73.73
2023-10-01 07:00:00,88.08
2023-10-01 08:00:00,82.1
2023-10-01 09:00:00,62.73
2023-10-01 10:00:00,40.0
2023-10-01 11:00:00,8.989998
2023-10-01 12:00:00,-0.069999695
2023-10-01 13:00:00,-4.329994
2023-10-01 14:00:00,-1.6699982
2023-10-01 15:00:00,1.5299988
2023-10-01 16:00:00,62.73
2023-10-01 17:00:00,95.16
2023-10-01 18:00:00,120.06
2023-10-01 19:00:00,130.0
2023-10-01 20:00:00,130.0
2023-10-01 21:00:00,115.16
2023-10-01 22:00:00,106.62
2023-10-01 23:00:00,99.97
2023-10-02 00:00:00,94.9
2023-10-02 01:00:00,93.17
2023-10-02 02:00:00,93.4
2023-10-02 03:00:00,92.02
2023-10-02 04:00:00,95.68
2023-10-02 05:00:00,99.33
2023-10-02 06:00:00,123.92
2023-10-02 07:00:00,139.6
2023-10-02 08:00:00,144.5
2023-10-02 09:00:00,128.01
2023-10-02 10:00:00,105.35
2023-10-02 11:00:00,92.29
2023-10-02 12:00:00,90.19
2023-10-02 13:00:00,87.86
2023-10-02 14:00:00,88.12
2023-10-02 15:00:00,90.5
2023-10-02 16:00:00,101.92
2023-10-02 17:00:00,114.35
2023-10-02 18:00:00,180.0
2023-10-02 19:00:00,226.65
2023-10-02 20:00:00,160.07
2023-10-02 21:00:00,120.0
2023-10-02 22:00:00,104.7
2023-10-02 23:00:00,100.0
2023-10-03 00:00:00,97.58
2023-10-03 01:00:00,67.31
2023-10-03 02:00:00,63.83
2023-10-03 03:00:00,30.169998
2023-10-03 04:00:00,8.459999
2023-10-03 05:00:00,3.980011
2023-10-03 06:00:00,8.020012
2023-10-03 07:00:00,47.489998
2023-10-03 08:00:00,75.0
2023-10-03 09:00:00,78.48
2023-10-03 10:00:00,70.0
2023-10-03 11:00:00,40.510002
2023-10-03 12:00:00,25.71
2023-10-03 13:00:00,2.3200073
2023-10-03 14:00:00,-0.95999146
2023-10-03 15:00:00,-1.8099976
2023-10-03 16:00:00,2.0199966
2023-10-03 17:00:00,38.089996
2023-10-03 18:00:00,80.7
2023-10-03 19:00:00,85.0
2023-10-03 20:00:00,80.69
2023-10-03 21:00:00,24.14
2023-10-03 22:00:00,55.330006
2023-10-03 23:00:00,4.5999985
2023-10-04 00:00:00,16.900002
2023-10-04 01:00:00,23.220001
2023-10-04 02:00:00,26.0
2023-10-04 03:00:00,21.099998
2023-10-04 04:00:00,22.520004
2023-10-04 05:00:00,48.280003
2023-10-04 06:00:00,98.62
2023-10-04 07:00:00,117.28
2023-10-04 08:00:00,121.55
2023-10-04 09:00:00,105.97
2023-10-04 10:00:00,77.75
2023-10-04 11:00:00,66.69
2023-10-04 12:00:00,19.610008
2023-10-04 13:00:00,42.1
2023-10-04 14:00:00,60.64
2023-10-04 15:00:00,62.410004
2023-10-04 16:00:00,80.82
2023-10-04 17:00:00,92.0
2023-10-04 18:00:00,100.7
2023-10-04 19:00:00,128.32
2023-10-04 20:00:00,116.4
2023-10-04 21:00:00,88.03
2023-10-04 22:00:00,85.59
2023-10-04 23:00:00,77.87
2023-10-05 00:00:00,82.9
2023-10-05 01:00:00,77.13
2023-10-05 02:00:00,70.53
2023-10-05 03:00:00,61.44
2023-10-05 04:00:00,69.16
2023-10-05 05:00:00,78.59
2023-10-05 06:00:00,90.73
2023-10-05 07:00:00,107.9
2023-10-05 08:00:00,122.19
2023-10-05 09:00:00,107.11
2023-10-05 10:00:00,87.33
2023-10-05 11:00:00,83.84
2023-10-05 12:00:00,82.1
2023-10-05 13:00:00,77.22
2023-10-05 14:00:00,80.03
2023-10-05 15:00:00,83.67
2023-10-05 16:00:00,88.28
2023-10-05 17:00:00,96.4
2023-10-05 18:00:00,135.48
2023-10-05 19:00:00,177.4
2023-10-05 20:00:00,139.4
2023-10-05 21:00:00,109.93
2023-10-05 22:00:00,100.98
2023-10-05 23:00:00,94.58
2023-10-06 00:00:00,87.39
2023-10-06 01:00:00,84.86
2023-10-06 02:00:00,77.96
2023-10-06 03:00:00,75.06
2023-10-06 04:00:00,65.94
2023-10-06 05:00:00,71.78
2023-10-06 06:00:00,94.24
2023-10-06 07:00:00,117.45
2023-10-06 08:00:00,120.72
2023-10-06 09:00:00,104.39
2023-10-06 10:00:00,85.01
2023-10-06 11:00:00,65.14
2023-10-06 12:00:00,36.53
2023-10-06 13:00:00,20.309998
2023-10-06 14:00:00,13.76001
2023-10-06 15:00:00,42.81
2023-10-06 16:00:00,62.94
2023-10-06 17:00:00,86.86
2023-10-06 18:00:00,104.93
2023-10-06 19:00:00,113.4
2023-10-06 20:00:00,103.26
2023-10-06 21:00:00,89.39
2023-10-06 22:00:00,79.36
2023-10-06 23:00:00,79.68
2023-10-07 00:00:00,70.31
2023-10-07 01:00:00,45.640003
2023-10-07 02:00:00,5.919998
2023-10-07 03:00:00,5.459999
2023-10-07 04:00:00,6.9300003
2023-10-07 05:00:00,22.270004
2023-10-07 06:00:00,53.02
2023-10-07 07:00:00,68.12
2023-10-07 08:00:00,71.76
2023-10-07 09:00:00,69.03
2023-10-07 10:00:00,46.81
2023-10-07 11:00:00,19.640007
2023-10-07 12:00:00,10.390007
2023-10-07 13:00:00,0.22000122
2023-10-07 14:00:00,1.0
2023-10-07 15:00:00,22.010002
2023-10-07 16:00:00,61.73
2023-10-07 17:00:00,86.44
2023-10-07 18:00:00,102.28
2023-10-07 19:00:00,108.91
2023-10-07 20:00:00,100.0
2023-10-07 21:00:00,83.99
2023-10-07 22:00:00,76.19
2023-10-07 23:00:00,72.0
2023-10-08 00:00:00,91.21
2023-10-08 01:00:00,82.01
2023-10-08 02:00:00,78.54
2023-10-08 03:00:00,74.66
2023-10-08 04:00:00,71.81
2023-10-08 05:00:00,77.09
2023-10-08 06:00:00,83.51
2023-10-08 07:00:00,100.0
2023-10-08 08:00:00,101.84
